energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.81,0.02, , ,281.363,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
26.3446,0.0002,2.27,0.12212817037850031,59.54090,33.19632,E1, ,,8, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
27.02,0.007, , ,102.959,75.900, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
31.4, , , ,546.12,514.20, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
32.183, ,0.0174,0.00043620637317673384, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
33.196,0.001,0.126,0.0032538592471094995,33.19632,0.0,M1+E2,0.13,3,185, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
38.54,0.03, , ,370.931,332.382, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
42.704,0.005,0.0055,0.0011013741416975433,75.900,33.19632,(M1+E2),0.13,AP,80, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
43.42,0.003,0.073,0.008033237205510614,102.959,59.54090,M1+E2,0.41,2,168, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
51.01,0.03,0.000026,0.000012002816336177106,332.382,281.363,E1, ,,0.767, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
54, , , ,129.99,75.900, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
55.56,0.02,0.0181,0.001809077389168302,158.500,102.959,M1+E2,0.46,4,67, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
56.8, , , ,324.421,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
57.85,0.05,0.0052,0.0015009010626953398, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
59.5409,0.0001,35.9,0.3657608508301565,59.54090,0.0,E1, ,,1.16, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
61.46, , , ,191.55,129.99, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
64.83,0.02,0.000145,0.000018058308337161595,332.382,267.566,E1, ,,0.408, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
67.45,0.05,0.00042,0.00010008816113806868,226.005,158.500,(M1+E2),0.46,12,31, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
69.76,0.03,0.0029,0.0004010498722104272,102.959,33.19632,(E1), ,,0.336, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
